,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm,TF
MC00168|ERG,0.001626863268505696,,Cistrome,,16,,20478527,Ets Domain Family,,v-ets erythroblastosis virus E26 oncogene homolog (avian),Homo Sapiens,VCaP,2078,ERG,,NM_001136154|NM_001136155|NM_004449|NM_182918,,,,,,,1203(6/8),-53.5005,(1) GABP|(2) ERG|(3) denovo|(4) ELK4|(5) Ets1|(6) ELK4|(7) denovo|(8) denovo|(9) denovo|(10) NRF-2/GABP|(11) Elk-1|(12) c-Ets-1 68|(13) denovo|(14) ELK1|(15) FLI1|(16) GABPA|(17) Elk-1|(18) Ets1|(19) CAT8|(20) Elk-1|(21) FEV|(22) EHF|(23) PEA3|(24) GABP-alpha|(25) denovo|(26) denovo|(27) ETV7|(28) NR2C2|(29) Ets|(30) Ets|(31) STAT1|(32) Elk-1|(34) ETS2|(36) SPI1|(37) NERF1a|(39) Ets1|(41) ELF1|(44) Ets1,(1)|(2) Ets Domain Family|(3)|(4) Ets Domain Family|(5) Ets Domain Family|(6) Ets Domain Family|(7)|(8)|(9)|(10)|(11)|(12)|(13)|(14) Ets Domain Family|(15) Ets Domain Family|(16) Ets Domain Family|(17)|(18) Ets Domain Family|(19)|(20)|(21) Ets Domain Family|(22) Ets Domain Family|(23)|(24)|(25)|(26)|(27) Ets Domain Family|(28) Hormone-nuclear Receptor Family|(29)|(30)|(31) Stat Protein Family|(32)|(34) Ets Domain Family|(36) Ets Domain Family|(37)|(39) Ets Domain Family|(41) Ets Domain Family|(44) Ets Domain Family,,38.0,"[[[0.075, 0.616, 0.152, 0.157], [0.633, 0.055, 0.275, 0.036], [0.001, 0.845, 0.012, 0.142], [0.025, 0.002, 0.004, 0.969], [0.001, 0.002, 0.001, 0.996], [0.002, 0.996, 0.000, 0.002], [0.004, 0.992, 0.002, 0.002], [0.003, 0.003, 0.777, 0.217], [0.006, 0.125, 0.828, 0.041], [0.070, 0.380, 0.152, 0.398], [0.099, 0.320, 0.284, 0.297], [0.089, 0.418, 0.247, 0.245]]]",ERG
MC00130|Pparg,0.0016423355883559698,,Cistrome,,16,,22028663,Hormone-nuclear Receptor Family,,peroxisome proliferator activated receptor gamma,Mus Musculus,3T3-L1,19016,Pparg,,NM_001127330|NM_011146,,,,,,,5567(13/13),-46.2965,(1) denovo|(2) denovo|(3) Nr1h2::Rxra|(4) denovo|(7) PPARA|(8) NR2F6|(9) TCF12,(1)|(2)|(3) Hormone-nuclear Receptor Family|(4)|(7) Hormone-nuclear Receptor Family|(8) Hormone-nuclear Receptor Family|(9) Helix-Loop-Helix Family,,7.0,"[[[0.582, 0.026, 0.091, 0.300], [0.077, 0.400, 0.459, 0.064], [0.050, 0.143, 0.095, 0.712], [0.453, 0.015, 0.514, 0.018], [0.086, 0.002, 0.814, 0.098], [0.150, 0.023, 0.816, 0.010], [0.131, 0.168, 0.453, 0.249], [0.070, 0.656, 0.214, 0.060], [0.899, 0.025, 0.043, 0.033], [0.539, 0.055, 0.340, 0.066], [0.748, 0.010, 0.234, 0.008], [0.048, 0.006, 0.925, 0.021], [0.086, 0.014, 0.783, 0.117], [0.059, 0.115, 0.363, 0.463], [0.096, 0.582, 0.133, 0.189], [0.695, 0.102, 0.123, 0.080]]]",Pparg
M00717|PAX8,0.0017139336176415498,,Transfac,,4,,8615801,Homeodomain Family,,paired box 8,Homo Sapiens,,7849,PAX8,-,NM_003466|NM_013951|NM_013952|NM_013953|NM_013992,58.0,,,,,,,,,,,,"[[[0.143, 0.429, 0.229, 0.199], [0.429, 0.200, 0.143, 0.228], [0.200, 0.229, 0.314, 0.257], [0.200, 0.200, 0.057, 0.543], [0.257, 0.257, 0.229, 0.257], [0.314, 0.200, 0.143, 0.343], [0.200, 0.314, 0.086, 0.400], [0.086, 0.143, 0.657, 0.114], [0.257, 0.486, 0.171, 0.086], [0.286, 0.057, 0.571, 0.086], [0.057, 0.029, 0.114, 0.800], [0.086, 0.029, 0.771, 0.114], [0.657, 0.086, 0.171, 0.086], [0.286, 0.114, 0.400, 0.200], [0.229, 0.229, 0.143, 0.399]]]",PAX8
MS00338|NRL,0.0017223359310420405,,SELEX,,9,,23332764,Leucine Zipper Family,,neural retina leucine zipper,Homo Sapiens,E.Coli,4901,NRL,,NM_006177,,,,,,,,,,,,,"[[[0.390, 0.133, 0.212, 0.265], [0.439, 0.105, 0.151, 0.305], [0.345, 0.154, 0.103, 0.398], [0.242, 0.238, 0.214, 0.306], [0.091, 0.200, 0.037, 0.672], [0.010, 0.010, 0.970, 0.010], [0.137, 0.829, 0.010, 0.024], [0.068, 0.041, 0.013, 0.878], [0.051, 0.013, 0.761, 0.175], [0.869, 0.048, 0.022, 0.061], [0.047, 0.571, 0.158, 0.224]]]",NRL
UP00031|Zbtb3,0.0017479154619846615,,UniPROBE,,9,,19443739,BetaBetaAlpha-zinc finger Family,,zinc finger and BTB domain containing 3,Mus Musculus,,75291,Zbtb3,4930563M09Rik,NM_001098237|NM_133759,39.0,,,,,,,,,,,,"[[[0.401, 0.144, 0.269, 0.186], [0.430, 0.169, 0.221, 0.180], [0.173, 0.268, 0.274, 0.285], [0.151, 0.297, 0.291, 0.261], [0.133, 0.283, 0.435, 0.149], [0.043, 0.937, 0.010, 0.010], [0.877, 0.010, 0.103, 0.010], [0.010, 0.936, 0.044, 0.010], [0.012, 0.010, 0.010, 0.968], [0.010, 0.010, 0.970, 0.010], [0.010, 0.904, 0.072, 0.014], [0.908, 0.057, 0.018, 0.017], [0.076, 0.330, 0.229, 0.365], [0.145, 0.163, 0.177, 0.515], [0.125, 0.328, 0.296, 0.251], [0.145, 0.314, 0.302, 0.239], [0.108, 0.242, 0.350, 0.300]]]",Zbtb3
MS00392|Foxg1,0.0017633383334012542,,SELEX,,9,,23332764,Forkhead Domain Family,,forkhead box G1,Mus Musculus,293FT,15228,Foxg1,,NM_001160112|NM_008241,,,,,,,,,,,,,"[[[0.273, 0.601, 0.101, 0.025], [0.224, 0.544, 0.035, 0.197], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.969, 0.011], [0.899, 0.010, 0.010, 0.081], [0.038, 0.923, 0.010, 0.029], [0.935, 0.043, 0.012, 0.010], [0.010, 0.966, 0.010, 0.014], [0.847, 0.066, 0.049, 0.038], [0.766, 0.128, 0.078, 0.028], [0.043, 0.022, 0.062, 0.873], [0.024, 0.719, 0.061, 0.196]]]",Foxg1
MC00305|Sox6,0.0017868438221018135,,Cistrome,,16,,21985497,High Mobility Group (Box) Family,,SRY-box containing gene 6,Mus Musculus,Myoblast,20679,Sox6,,NM_001025559|NM_001025560|NM_011445,,,,,,,6095(1/1),-26.4595,(1) denovo|(2) denovo|(3) MYOG|(5) denovo|(6) ATOH1|(8) TFAP4|(9) Ascl2|(10) denovo|(12) TCF12|(13) MYOD1|(14) NHLH1|(17) MYF6|(18) TCF4,(1)|(2)|(3) Helix-Loop-Helix Family|(5)|(6) Helix-Loop-Helix Family|(8) Helix-Loop-Helix Family|(9) Helix-Loop-Helix Family|(10)|(12) Helix-Loop-Helix Family|(13) Helix-Loop-Helix Family|(14) Helix-Loop-Helix Family|(17) Helix-Loop-Helix Family|(18) Helix-Loop-Helix Family,,13.0,"[[[0.243, 0.207, 0.366, 0.184], [0.266, 0.235, 0.275, 0.225], [0.517, 0.106, 0.358, 0.019], [0.593, 0.007, 0.381, 0.019], [0.012, 0.952, 0.014, 0.021], [0.968, 0.007, 0.012, 0.012], [0.032, 0.014, 0.939, 0.015], [0.037, 0.895, 0.036, 0.032], [0.014, 0.016, 0.013, 0.956], [0.024, 0.008, 0.963, 0.005]]]",Sox6
MS00662|NR3C2,0.0018482771825082955,,SELEX,,9,,23332764,Hormone-nuclear Receptor Family,,"nuclear receptor subfamily 3, group C, member 2",Homo Sapiens,293FT,4306,NR3C2,,NM_000901|NM_001166104,,,,,,,,,,,,,"[[[0.175, 0.139, 0.420, 0.266], [0.352, 0.010, 0.625, 0.013], [0.010, 0.010, 0.970, 0.010], [0.447, 0.035, 0.170, 0.348], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.950, 0.010, 0.030, 0.010], [0.162, 0.405, 0.069, 0.364], [0.424, 0.114, 0.201, 0.261], [0.534, 0.045, 0.327, 0.094], [0.010, 0.022, 0.010, 0.958], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.336, 0.179, 0.033, 0.452], [0.010, 0.970, 0.010, 0.010], [0.013, 0.593, 0.013, 0.381], [0.211, 0.404, 0.181, 0.204]]]",NR3C2
M00468|KLF12,0.0018535158937952323,,Transfac,,4,,10704285,BetaBetaAlpha-zinc finger Family,,Kruppel-like factor 12,Homo Sapiens,,11278,KLF12,AP-2rep AP2REP,NM_007249,208.0,,,,,,,,,,,,"[[[0.182, 0.727, 0.010, 0.081], [0.636, 0.182, 0.010, 0.172], [0.091, 0.091, 0.808, 0.010], [0.010, 0.182, 0.010, 0.798], [0.182, 0.091, 0.636, 0.091], [0.091, 0.091, 0.636, 0.182], [0.182, 0.091, 0.545, 0.182]]]",KLF12
MS00304|CREB3L1,0.0018758559427740629,,SELEX,,9,,23332764,Leucine Zipper Family,,cAMP responsive element binding protein 3-like 1,Homo Sapiens,293FT,90993,CREB3L1,,NM_052854,,,,,,,,,,,,,"[[[0.368, 0.213, 0.270, 0.149], [0.042, 0.177, 0.032, 0.749], [0.028, 0.010, 0.937, 0.025], [0.083, 0.897, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.030, 0.010, 0.950, 0.010], [0.010, 0.010, 0.010, 0.970], [0.144, 0.796, 0.048, 0.012], [0.824, 0.040, 0.088, 0.048], [0.089, 0.277, 0.186, 0.448], [0.085, 0.754, 0.072, 0.089], [0.652, 0.063, 0.162, 0.123]]]",CREB3L1
M00115|CNTN2::CREB1,0.0018904062690850432,,Transfac,,4,,8264613,Leucine zipper Family,,contactin 2 (axonal)|cAMP responsive element binding protein 1,Homo Sapiens,,6900|1385,CNTN2::CREB1,,NM_005076|NM_004379|NM_134442,387.0,,,,,,,,,,,,"[[[0.580, 0.010, 0.400, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.200, 0.010, 0.780], [0.780, 0.200, 0.010, 0.010], [0.010, 0.600, 0.010, 0.380], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.800, 0.010, 0.180], [0.200, 0.780, 0.010, 0.010]]]",CNTN2::CREB1
MS00256|HES7,0.002036983568704409,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,hairy and enhancer of split 7 (Drosophila),Homo Sapiens,239FT,84667,HES7,,NM_001165967|NM_032580,,,,,,,,,,,,,"[[[0.090, 0.424, 0.023, 0.463], [0.013, 0.010, 0.967, 0.010], [0.078, 0.014, 0.898, 0.010], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.010, 0.933, 0.010, 0.047], [0.010, 0.970, 0.010, 0.010], [0.508, 0.025, 0.394, 0.073]]]",HES7
M00467|ZNF423,0.002162999580613556,,Transfac,,4,,9774661,BetaBetaAlpha-zinc finger Family,,zinc finger protein 423,Homo Sapiens,,23090,ZNF423,Ebfaz KIAA0760 MGC138520 MGC138522 OAZ Roaz ZFP423 Zfp104,NM_015069,204.0,,,,,,,,,,,,"[[[0.010, 0.010, 0.970, 0.010], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.714, 0.010, 0.010, 0.266], [0.643, 0.010, 0.010, 0.337], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.071, 0.909, 0.010], [0.429, 0.500, 0.010, 0.061]]]",ZNF423
MS00729|ZNF282,0.0021732007405344533,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,zinc finger protein 282,Homo Sapiens,293FT,8427,ZNF282,,NM_003575,,,,,,,,,,,,,"[[[0.067, 0.629, 0.160, 0.144], [0.088, 0.047, 0.016, 0.849], [0.039, 0.010, 0.019, 0.932], [0.010, 0.010, 0.010, 0.970], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.966, 0.014, 0.010], [0.528, 0.381, 0.010, 0.081], [0.044, 0.483, 0.010, 0.463], [0.715, 0.010, 0.104, 0.171], [0.970, 0.010, 0.010, 0.010], [0.010, 0.958, 0.018, 0.014], [0.817, 0.149, 0.010, 0.024], [0.010, 0.970, 0.010, 0.010], [0.032, 0.010, 0.665, 0.293], [0.524, 0.133, 0.200, 0.143], [0.152, 0.338, 0.334, 0.176]]]",ZNF282
M00749|SREBF1,0.002272919686572117,,Transfac,,4,,,Helix-Loop-Helix Family,,sterol regulatory element binding transcription factor 1,Homo Sapiens,,6720,SREBF1,SREBP-1c SREBP1 bHLHd1,NM_001005291|NM_004176,284.0,,,,,,,,,,,,"[[[0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.167, 0.490, 0.333, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.833, 0.010, 0.147], [0.970, 0.010, 0.010, 0.010]]]",SREBF1
MS00668|Nr2e1,0.0023019364154723276,,SELEX,,9,,23332764,Hormone-nuclear Receptor Family,,"nuclear receptor subfamily 2, group E, member 1",Mus Musculus,293FT,21907,Nr2e1,,NM_152229,,,,,,,,,,,,,"[[[0.633, 0.075, 0.271, 0.021], [0.620, 0.093, 0.193, 0.094], [0.072, 0.010, 0.908, 0.010], [0.010, 0.060, 0.059, 0.871], [0.010, 0.891, 0.014, 0.085], [0.887, 0.010, 0.085, 0.018], [0.641, 0.090, 0.113, 0.156], [0.311, 0.062, 0.251, 0.376], [0.912, 0.010, 0.029, 0.049], [0.885, 0.030, 0.058, 0.027], [0.010, 0.010, 0.970, 0.010], [0.010, 0.123, 0.029, 0.838], [0.010, 0.879, 0.025, 0.086], [0.886, 0.010, 0.094, 0.010]]]",Nr2e1
MC00192|ZNF263,0.002376556753927339,,Cistrome,,20,,,BetaBetaAlpha-zinc finger Family,,zinc finger protein 263,Homo Sapiens,K562,10127,ZNF263,FPM315 ZKSCAN12,NM_005741,259.0,,,,,,724(1/1),-34.5912,(0) ZNF263 (1) ZNF263 (2) denovo (3) denovo (4) denovo (5) denovo (6) denovo (7) denovo (8) denovo (9) denovo (10) denovo (11) denovo (12) denovo,(0) BetaBetaAlpha-zinc finger Family (zf-C2H2) (1) BetaBetaAlpha-zinc finger Family (zf-C2H2) (2)  (3)  (4)  (5)  (6)  (7)  (8)  (9)  (10)  (11)  (12),,13.0,"[[[0.055, 0.428, 0.155, 0.362], [0.153, 0.601, 0.221, 0.025], [0.010, 0.617, 0.365, 0.008], [0.007, 0.006, 0.001, 0.986], [0.005, 0.760, 0.232, 0.003], [0.015, 0.970, 0.004, 0.011], [0.003, 0.000, 0.003, 0.994], [0.004, 0.971, 0.023, 0.002], [0.004, 0.990, 0.005, 0.001], [0.026, 0.833, 0.001, 0.139], [0.144, 0.419, 0.072, 0.364], [0.121, 0.469, 0.296, 0.114]]]",ZNF263
M00490|BACH2,0.0023852760160113506,,Transfac,,4,,8887638,Leucine Zipper Family,,"BTB and CNC homology 1, basic leucine zipper transcription factor 2",Homo Sapiens,,60468,BACH2,-,NM_001170794|NM_021813,76.0,,,,,,,,,,,,"[[[0.091, 0.500, 0.318, 0.091], [0.385, 0.077, 0.500, 0.038], [0.010, 0.010, 0.077, 0.903], [0.010, 0.010, 0.962, 0.018], [0.692, 0.231, 0.038, 0.039], [0.077, 0.010, 0.903, 0.010], [0.038, 0.010, 0.038, 0.914], [0.077, 0.875, 0.038, 0.010], [0.935, 0.010, 0.045, 0.010], [0.100, 0.250, 0.150, 0.500], [0.150, 0.550, 0.250, 0.050]]]",BACH2
M00647|NR1H3,0.0024870164724031807,,Transfac,,4,,P1481859. New TRANSFAC MATRIX entries Book 3 0001 (2002),Hormone-nuclear Receptor Family,,"nuclear receptor subfamily 1, group H, member 3",Homo Sapiens,,10062,NR1H3,LXR-a LXRA RLD-1,NM_001130101|NM_001130102|NM_005693,309.0,,,,,,,,,,,,"[[[0.125, 0.250, 0.010, 0.615], [0.250, 0.010, 0.625, 0.115], [0.010, 0.125, 0.750, 0.115], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.500, 0.010, 0.480], [0.855, 0.125, 0.010, 0.010], [0.010, 0.750, 0.125, 0.115], [0.010, 0.250, 0.125, 0.615], [0.250, 0.250, 0.375, 0.125], [0.125, 0.250, 0.500, 0.125], [0.250, 0.490, 0.250, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.750, 0.230], [0.010, 0.010, 0.250, 0.730], [0.010, 0.970, 0.010, 0.010], [0.855, 0.010, 0.125, 0.010]]]",NR1H3
UP00011|IRF6,0.002514205188879848,,UniPROBE,,9,,19443739,Interferon Regulatory Factor,,interferon regulatory factor 6,Homo Sapiens,,3664,IRF6,LPS OFC6 PIT PPS VWS,NM_006147,174.0,,,,,,,,,,,,"[[[0.257, 0.363, 0.149, 0.231], [0.313, 0.135, 0.190, 0.362], [0.255, 0.129, 0.355, 0.261], [0.668, 0.054, 0.206, 0.072], [0.200, 0.340, 0.114, 0.346], [0.030, 0.909, 0.010, 0.051], [0.020, 0.010, 0.960, 0.010], [0.970, 0.010, 0.010, 0.010], [0.699, 0.010, 0.010, 0.281], [0.970, 0.010, 0.010, 0.010], [0.010, 0.969, 0.011, 0.010], [0.022, 0.611, 0.019, 0.348], [0.538, 0.125, 0.242, 0.095], [0.457, 0.205, 0.177, 0.161], [0.373, 0.189, 0.196, 0.242], [0.217, 0.198, 0.300, 0.285], [0.278, 0.188, 0.237, 0.297]]]",IRF6
UP00035|HIC1,0.002566748525940854,,UniPROBE,,9,,19443739,BetaBetaAlpha-zinc finger Family,,hypermethylated in cancer 1,Homo Sapiens,,3090,HIC1,ZBTB29 ZNF901 hic-1,NM_001098202|NM_006497,10.0,,,,,,,,,,,,"[[[0.275, 0.211, 0.250, 0.264], [0.135, 0.328, 0.218, 0.319], [0.146, 0.243, 0.267, 0.344], [0.657, 0.010, 0.315, 0.018], [0.010, 0.010, 0.010, 0.970], [0.042, 0.010, 0.938, 0.010], [0.010, 0.958, 0.022, 0.010], [0.010, 0.970, 0.010, 0.010], [0.908, 0.072, 0.010, 0.010], [0.582, 0.212, 0.116, 0.090], [0.010, 0.927, 0.028, 0.035], [0.027, 0.800, 0.054, 0.119], [0.204, 0.191, 0.169, 0.436], [0.402, 0.154, 0.291, 0.153], [0.201, 0.414, 0.145, 0.240], [0.241, 0.333, 0.143, 0.283]]]",HIC1
MC00281|PBX3,0.0025715529329536913,,Cistrome,,18,,,Homeodomain Family,,pre-B-cell leukemia homeobox 3,Homo Sapiens,GM12878,5090,PBX3,-,NM_001134778|NM_006195|NR_024122|NR_024123,326.0,,,,,,1699(1/1),-42.2352,(0) denovo (1) denovo (2) denovo (3) denovo (4) denovo (5) denovo (6) NFYA NFYB NFYC Nfya Nfyb Nfyc (7) NFYA (8) denovo (9) denovo (10) denovo (11) NFYA NFYB NFYC (12) NFYA NFYB NFYC (14) CCAAT box (15) denovo (16) denovo (18) HAP2/3/4 (19) NFYA Nfya (20) NFYA NFYB NFYC (21) denovo (22) ACAAT (23) PKNOX2 (24) denovo (25) PBX1 (26) HOXA7 Hoxa7 (28) denovo (29) TGIF1 (30) TOS8 (32) PREP1 PKNOX1 (34) Pbx-1b,(0)  (1)  (2)  (3)  (4)  (5)  (6) NFY CCAAT-binding (7) NFY CCAAT-binding (8)  (9)  (10)  (11) NFY CCAAT-binding (12) NFY CCAAT-binding (14)  (15)  (16)  (18)  (19) NFY CCAAT-binding (20) NFY CCAAT-binding (21)  (22)  (23)  (24)  (25) Homeodomain Family (26) Homeodomain Family (28)  (29)  (30)  (32)  (34),,30.0,"[[[0.165, 0.063, 0.046, 0.726], [0.020, 0.015, 0.949, 0.017], [0.963, 0.011, 0.022, 0.004], [0.020, 0.206, 0.332, 0.442], [0.031, 0.039, 0.076, 0.854], [0.010, 0.014, 0.961, 0.014], [0.610, 0.011, 0.372, 0.006], [0.023, 0.907, 0.012, 0.058], [0.591, 0.028, 0.227, 0.155], [0.022, 0.078, 0.791, 0.109]]]",PBX3
MS00267|MNT,0.0026111627778013236,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,MAX binding protein,Homo Sapiens,293FT,4335,MNT,,NM_020310,,,,,,,,,,,,,"[[[0.410, 0.188, 0.213, 0.189], [0.275, 0.334, 0.298, 0.093], [0.038, 0.942, 0.010, 0.010], [0.950, 0.010, 0.010, 0.030], [0.010, 0.957, 0.010, 0.023], [0.022, 0.010, 0.958, 0.010], [0.010, 0.010, 0.022, 0.958], [0.010, 0.010, 0.945, 0.035], [0.220, 0.412, 0.192, 0.176], [0.233, 0.336, 0.110, 0.321]]]",MNT
M01067|GFI1,0.002623560119203505,,Transfac,,4,,"P1481530. New matrix entries., Rel93 Book 0001 (2005)",BetaBetaAlpha-zinc finger Family,,growth factor independent 1 transcription repressor,Homo Sapiens,,2672,GFI1,FLJ94509 GFI-1 SCN2 ZNF163,NM_001127215|NM_001127216|NM_005263,175.0,,,,,,,,,,,,"[[[0.240, 0.400, 0.160, 0.200], [0.240, 0.240, 0.280, 0.240], [0.560, 0.120, 0.120, 0.200], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.120, 0.860], [0.010, 0.970, 0.010, 0.010], [0.520, 0.240, 0.040, 0.200], [0.120, 0.440, 0.240, 0.200], [0.240, 0.040, 0.360, 0.360], [0.120, 0.120, 0.520, 0.240], [0.080, 0.400, 0.360, 0.160], [0.240, 0.320, 0.120, 0.320]]]",GFI1
MS00285|TCF4,0.002637475037898962,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,transcription factor 4,Homo Sapiens,FT293,6925,TCF4,,NM_001083962|NM_003199,,,,,,,,,,,,,"[[[0.286, 0.331, 0.127, 0.256], [0.408, 0.192, 0.314, 0.086], [0.034, 0.898, 0.058, 0.010], [0.761, 0.044, 0.010, 0.185], [0.010, 0.852, 0.066, 0.072], [0.096, 0.778, 0.048, 0.078], [0.010, 0.082, 0.010, 0.898], [0.083, 0.243, 0.524, 0.150], [0.103, 0.334, 0.248, 0.315], [0.308, 0.193, 0.226, 0.273]]]",TCF4
M00979|PAX6,0.0026893978519431094,,Transfac,,4,,P1481859. New TRANSFAC MATRIX entries Book 3 0001 (2002),Homeodomain Family,,paired box 6,Homo Sapiens,,5080,PAX6,AN AN2 D11S812E MGC17209 MGDA WAGR,NM_000280|NM_001127612|NM_001604,370.0,,,,,,,,,,,,"[[[0.091, 0.854, 0.045, 0.010], [0.045, 0.010, 0.045, 0.900], [0.010, 0.010, 0.970, 0.010], [0.773, 0.010, 0.045, 0.172], [0.010, 0.753, 0.227, 0.010], [0.045, 0.854, 0.091, 0.010], [0.010, 0.045, 0.010, 0.935], [0.010, 0.010, 0.909, 0.071], [0.010, 0.010, 0.909, 0.071], [0.864, 0.045, 0.045, 0.046], [0.935, 0.010, 0.045, 0.010], [0.045, 0.818, 0.091, 0.046], [0.045, 0.045, 0.136, 0.774], [0.364, 0.455, 0.045, 0.136]]]",PAX6
MS00247|BHLHB2,0.002719259386057382,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,,Homo Sapiens,293FT,,BHLHB2,,,,,,,,,,,,,,,"[[[0.340, 0.270, 0.261, 0.129], [0.106, 0.037, 0.382, 0.475], [0.010, 0.970, 0.010, 0.010], [0.969, 0.011, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.014, 0.021, 0.010, 0.955], [0.010, 0.010, 0.970, 0.010], [0.500, 0.447, 0.011, 0.042], [0.138, 0.508, 0.123, 0.231]]]",BHLHB2
MS00019|ETV5,0.0027377174962477935,,SELEX,,9,,23332764,Ets Domain Family,,ets variant 5,Homo Sapiens,293FT,2119,ETV5,,NM_004454,,,,,,,,,,,,,"[[[0.497, 0.097, 0.236, 0.170], [0.130, 0.563, 0.196, 0.111], [0.085, 0.893, 0.012, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.962, 0.010, 0.010, 0.018], [0.549, 0.040, 0.020, 0.391], [0.206, 0.104, 0.661, 0.029], [0.070, 0.297, 0.104, 0.529], [0.284, 0.197, 0.303, 0.216]]]",ETV5
MS00022|Elf5,0.00284284012982855,,SELEX,,9,,23332764,Ets Domain Family,,E74-like factor 5,Mus Musculus,293FT,13711,Elf5,,NM_001145813|NM_010125,,,,,,,,,,,,,"[[[0.610, 0.067, 0.096, 0.227], [0.211, 0.404, 0.190, 0.195], [0.208, 0.508, 0.262, 0.022], [0.329, 0.575, 0.082, 0.014], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.872, 0.021, 0.010, 0.097], [0.255, 0.070, 0.662, 0.013], [0.128, 0.195, 0.091, 0.586], [0.343, 0.152, 0.271, 0.234]]]",Elf5
