,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm
MS00248|BHLHB3,6.269446887499574e-06,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,,Homo Sapiens,293FT,,BHLHB3,,,,,,,,,,,,,,,"[[[0.220, 0.320, 0.331, 0.129], [0.058, 0.015, 0.481, 0.446], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.013, 0.010, 0.967], [0.010, 0.010, 0.970, 0.010], [0.491, 0.479, 0.010, 0.020], [0.137, 0.554, 0.129, 0.180]]]"
MS00423|ZNF524,6.376425605602189e-06,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,zinc finger protein 524,Homo Sapiens,293FT,147807,ZNF524,,NM_153219,,,,,,,,,,,,,"[[[0.856, 0.056, 0.040, 0.048], [0.037, 0.910, 0.026, 0.027], [0.047, 0.889, 0.028, 0.036], [0.012, 0.933, 0.036, 0.019], [0.016, 0.017, 0.010, 0.957], [0.023, 0.622, 0.027, 0.328], [0.054, 0.010, 0.926, 0.010], [0.684, 0.094, 0.147, 0.075], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.015, 0.961, 0.012, 0.012]]]"
UP00011|IRF6,6.419702906001358e-06,,UniPROBE,,9,,19443739,Interferon Regulatory Factor,,interferon regulatory factor 6,Homo Sapiens,,3664,IRF6,LPS OFC6 PIT PPS VWS,NM_006147,174.0,,,,,,,,,,,,"[[[0.257, 0.363, 0.149, 0.231], [0.313, 0.135, 0.190, 0.362], [0.255, 0.129, 0.355, 0.261], [0.668, 0.054, 0.206, 0.072], [0.200, 0.340, 0.114, 0.346], [0.030, 0.909, 0.010, 0.051], [0.020, 0.010, 0.960, 0.010], [0.970, 0.010, 0.010, 0.010], [0.699, 0.010, 0.010, 0.281], [0.970, 0.010, 0.010, 0.010], [0.010, 0.969, 0.011, 0.010], [0.022, 0.611, 0.019, 0.348], [0.538, 0.125, 0.242, 0.095], [0.457, 0.205, 0.177, 0.161], [0.373, 0.189, 0.196, 0.242], [0.217, 0.198, 0.300, 0.285], [0.278, 0.188, 0.237, 0.297]]]"
MC00207|ELK4,6.707911617837646e-06,,Cistrome,,18,,21126370,Ets Domain Family,,"ELK4, ETS-domain protein (SRF accessory protein 1)",Homo Sapiens,HeLa,2005,ELK4,,NM_001973|NM_021795,,,,,,,4898(1/1),-6.6288,(1) ELK4,(1) Ets Domain Family,,1.0,"[[[0.339, 0.268, 0.250, 0.143], [0.250, 0.232, 0.286, 0.232], [0.107, 0.304, 0.429, 0.161], [0.286, 0.232, 0.161, 0.321], [0.732, 0.018, 0.250, 0.000], [0.018, 0.607, 0.107, 0.268], [0.143, 0.000, 0.036, 0.821], [0.000, 0.018, 0.000, 0.982], [0.000, 0.964, 0.036, 0.000], [0.000, 0.946, 0.018, 0.036], [0.071, 0.000, 0.732, 0.196], [0.018, 0.018, 0.857, 0.107], [0.179, 0.161, 0.089, 0.571], [0.304, 0.179, 0.214, 0.304], [0.107, 0.179, 0.411, 0.304], [0.232, 0.339, 0.250, 0.179]]]"
MS00256|HES7,6.868171648970578e-06,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,hairy and enhancer of split 7 (Drosophila),Homo Sapiens,239FT,84667,HES7,,NM_001165967|NM_032580,,,,,,,,,,,,,"[[[0.090, 0.424, 0.023, 0.463], [0.013, 0.010, 0.967, 0.010], [0.078, 0.014, 0.898, 0.010], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.010, 0.933, 0.010, 0.047], [0.010, 0.970, 0.010, 0.010], [0.508, 0.025, 0.394, 0.073]]]"
M00444|VDR,6.937966734742015e-06,,Transfac,,4,,P1481798. Binding matrices compiled for TRANSFAC Book 2 0002 (2001),Hormone-nuclear Receptor Family,,"vitamin D (1,25- dihydroxyvitamin D3) receptor",Homo Sapiens,,7421,VDR,NR1I1,NM_000376|NM_001017535,339.0,,,,,,,,,,,,"[[[0.083, 0.010, 0.897, 0.010], [0.250, 0.010, 0.730, 0.010], [0.010, 0.010, 0.750, 0.230], [0.010, 0.010, 0.417, 0.563], [0.250, 0.333, 0.333, 0.084], [0.667, 0.083, 0.083, 0.167], [0.406, 0.167, 0.417, 0.010], [0.167, 0.250, 0.333, 0.250], [0.333, 0.083, 0.500, 0.084], [0.333, 0.010, 0.583, 0.074], [0.083, 0.010, 0.897, 0.010], [0.010, 0.010, 0.750, 0.230], [0.333, 0.083, 0.083, 0.501], [0.010, 0.417, 0.500, 0.073], [0.667, 0.083, 0.083, 0.167]]]"
MS00255|HES5,7.055797569111856e-06,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,hairy and enhancer of split 5 (Drosophila),Homo Sapiens,293FT,388585,HES5,,NM_001010926,,,,,,,,,,,,,"[[[0.138, 0.500, 0.019, 0.343], [0.029, 0.010, 0.951, 0.010], [0.320, 0.026, 0.644, 0.010], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.010, 0.835, 0.010, 0.145], [0.010, 0.970, 0.010, 0.010], [0.418, 0.098, 0.305, 0.179]]]"
MS00146|KLF16,7.103462265017306e-06,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,Kruppel-like factor 16,Homo Sapiens,293FT,83855,KLF16,,NM_031918,,,,,,,,,,,,,"[[[0.218, 0.175, 0.528, 0.079], [0.333, 0.596, 0.028, 0.043], [0.036, 0.928, 0.010, 0.026], [0.690, 0.281, 0.019, 0.010], [0.039, 0.940, 0.010, 0.011], [0.185, 0.064, 0.601, 0.150], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.924, 0.010, 0.056], [0.262, 0.703, 0.011, 0.024], [0.016, 0.791, 0.011, 0.182]]]"
UP00038|Spdef,7.248305804708696e-06,,UniPROBE,,9,,19443739,Ets Domain Family,,SAM pointed domain containing ets transcription factor,Mus Musculus,,30051,Spdef,PDEF Pse,NM_013891,61.0,,,,,,,,,,,,"[[[0.278, 0.269, 0.332, 0.121], [0.192, 0.290, 0.165, 0.353], [0.490, 0.027, 0.447, 0.036], [0.092, 0.612, 0.135, 0.161], [0.715, 0.010, 0.043, 0.232], [0.017, 0.015, 0.010, 0.958], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.872, 0.108], [0.010, 0.087, 0.857, 0.046], [0.567, 0.071, 0.194, 0.168], [0.178, 0.059, 0.041, 0.722], [0.256, 0.251, 0.158, 0.335], [0.184, 0.304, 0.126, 0.386], [0.145, 0.234, 0.150, 0.471], [0.093, 0.314, 0.190, 0.403]]]"
MS00778|EHF,7.59730618230138e-06,,SELEX,,9,,23332764,Ets Domain Family,,ets homologous factor,Homo Sapiens,293FT,26298,EHF,,NM_012153,,,,,,,,,,,,,"[[[0.425, 0.162, 0.132, 0.281], [0.827, 0.031, 0.030, 0.112], [0.097, 0.695, 0.125, 0.083], [0.073, 0.746, 0.171, 0.010], [0.112, 0.867, 0.011, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.126, 0.018, 0.846, 0.010], [0.028, 0.057, 0.023, 0.892], [0.513, 0.086, 0.239, 0.162]]]"
MS00046|GLIS3,8.456165528452653e-06,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,GLIS family zinc finger 3,Homo Sapiens,E.Coli,169792,GLIS3,,NM_001042413|NM_152629,,,,,,,,,,,,,"[[[0.010, 0.042, 0.685, 0.263], [0.950, 0.010, 0.030, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.952, 0.010, 0.028], [0.010, 0.970, 0.010, 0.010], [0.020, 0.960, 0.010, 0.010], [0.010, 0.893, 0.010, 0.087], [0.910, 0.010, 0.070, 0.010], [0.010, 0.881, 0.035, 0.074], [0.233, 0.018, 0.669, 0.080], [0.808, 0.010, 0.048, 0.134], [0.692, 0.178, 0.013, 0.117], [0.010, 0.025, 0.955, 0.010]]]"
MS00027|FLI1,9.252055635701862e-06,,SELEX,,9,,23332764,Ets Domain Family,,Friend leukemia virus integration 1,Homo Sapiens,293FT,2313,FLI1,,NM_001167681|NM_002017,,,,,,,,,,,,,"[[[0.695, 0.070, 0.141, 0.094], [0.125, 0.735, 0.115, 0.025], [0.127, 0.853, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.445, 0.113, 0.010, 0.432], [0.758, 0.010, 0.132, 0.100], [0.010, 0.010, 0.010, 0.970], [0.010, 0.967, 0.013, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.013, 0.798, 0.179], [0.062, 0.224, 0.575, 0.139], [0.214, 0.324, 0.137, 0.325]]]"
MS00021|ETV6,9.34476801086479e-06,,SELEX,,9,,23332764,Ets Domain Family,,ets variant 6,Homo Sapiens,293FT,2120,ETV6,,NM_001987,,,,,,,,,,,,,"[[[0.415, 0.290, 0.207, 0.088], [0.046, 0.321, 0.574, 0.059], [0.172, 0.746, 0.046, 0.036], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.102, 0.010, 0.878, 0.010], [0.023, 0.105, 0.029, 0.843], [0.306, 0.051, 0.480, 0.163]]]"
M00378|PAX4,9.43836492785246e-06,,Transfac,,4,,10567552,Homeodomain Family,,paired box 4,Homo Sapiens,,5078,PAX4,KPD MGC129960 MODY9,NM_006193,20.0,,,,,,,,,,,,"[[[0.353, 0.235, 0.235, 0.177], [0.471, 0.118, 0.176, 0.235], [0.176, 0.294, 0.176, 0.354], [0.235, 0.353, 0.176, 0.236], [0.235, 0.412, 0.059, 0.294], [0.118, 0.529, 0.010, 0.343], [0.059, 0.872, 0.059, 0.010], [0.941, 0.010, 0.010, 0.039], [0.059, 0.813, 0.118, 0.010], [0.176, 0.706, 0.010, 0.108], [0.059, 0.706, 0.176, 0.059], [0.010, 0.375, 0.375, 0.240]]]"
M01241|GTF2IRD1,9.501258219688995e-06,,Transfac,,4,,18326499,GTF2I Domain Family,,GTF2I repeat domain containing 1,Homo Sapiens,,9569,GTF2IRD1,BEN CREAM1 GTF3 MUSTRD1 RBAP2 WBS WBSCR11 WBSCR12 hMusTRD1alpha1,NM_005685|NM_016328,186.0,,,,,,,,,,,,"[[[0.010, 0.970, 0.010, 0.010], [0.625, 0.010, 0.010, 0.355], [0.010, 0.010, 0.970, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.625, 0.010, 0.355], [0.970, 0.010, 0.010, 0.010]]]"
M00486|PAX2,9.660242537571028e-06,,Transfac,,4,,10600536,Homeodomain Family,,paired box 2,Homo Sapiens,,5076,PAX2,-,NM_000278|NM_003987|NM_003988|NM_003989|NM_003990,272.0,,,,,,,,,,,,"[[[0.324, 0.324, 0.189, 0.163], [0.324, 0.243, 0.162, 0.271], [0.135, 0.270, 0.243, 0.352], [0.919, 0.010, 0.054, 0.017], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.541, 0.324, 0.125], [0.216, 0.324, 0.108, 0.352], [0.216, 0.459, 0.189, 0.136]]]"
UP00404|ELF2,9.985844197657532e-06,,UniPROBE,,9,,19443739,Ets Domain Family,,E74-like factor 2 (ets domain transcription factor),Homo Sapiens,,1998,ELF2,"EU32 NERF NERF-1A NERF-1B NERF-1a,b NERF-2",NM_006874|NM_201999,40.0,,,,,,,,,,,,"[[[0.382, 0.199, 0.201, 0.218], [0.092, 0.332, 0.303, 0.273], [0.165, 0.273, 0.353, 0.209], [0.322, 0.256, 0.129, 0.293], [0.853, 0.013, 0.079, 0.055], [0.010, 0.793, 0.026, 0.171], [0.059, 0.010, 0.010, 0.921], [0.015, 0.010, 0.010, 0.965], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.891, 0.089], [0.010, 0.144, 0.836, 0.010], [0.243, 0.062, 0.305, 0.390], [0.427, 0.118, 0.096, 0.359], [0.203, 0.114, 0.262, 0.421], [0.138, 0.359, 0.164, 0.339]]]"
M00500|STAT6,1.1321005976001776e-05,,Transfac,,4,,11053426,Stat Protein Family,,"signal transducer and activator of transcription 6, interleukin-4 induced",Homo Sapiens,,6778,STAT6,D12S1644 IL-4-STAT STAT6B STAT6C,NM_001178078|NM_001178079|NM_001178080|NM_001178081|NM_003153|NR_033659,343.0,,,,,,,,,,,,"[[[0.228, 0.228, 0.406, 0.138], [0.360, 0.320, 0.180, 0.140], [0.090, 0.450, 0.050, 0.410], [0.010, 0.010, 0.010, 0.970], [0.050, 0.010, 0.010, 0.930], [0.010, 0.970, 0.010, 0.010], [0.140, 0.590, 0.010, 0.260], [0.140, 0.360, 0.050, 0.450]]]"
MA0163|PLAG1,1.2090310844787225e-05,,JASPAR,,6,,16041365,BetaBetaAlpha-zinc finger Family,,pleiomorphic adenoma gene 1,Homo Sapiens,,5324,PLAG1,PSA SGPA ZNF912,NM_001114634|NM_001114635|NM_002655,8.0,,,,,,,,,,,,"[[[0.010, 0.010, 0.970, 0.010], [0.167, 0.010, 0.778, 0.045], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.944, 0.036], [0.010, 0.758, 0.222, 0.010], [0.010, 0.833, 0.056, 0.101], [0.222, 0.556, 0.056, 0.166], [0.667, 0.010, 0.010, 0.313], [0.601, 0.278, 0.111, 0.010], [0.111, 0.010, 0.778, 0.101], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.889, 0.091], [0.111, 0.010, 0.869, 0.010]]]"
MC00168|ERG,1.329465315758624e-05,,Cistrome,,16,,20478527,Ets Domain Family,,v-ets erythroblastosis virus E26 oncogene homolog (avian),Homo Sapiens,VCaP,2078,ERG,,NM_001136154|NM_001136155|NM_004449|NM_182918,,,,,,,1203(6/8),-53.5005,(1) GABP|(2) ERG|(3) denovo|(4) ELK4|(5) Ets1|(6) ELK4|(7) denovo|(8) denovo|(9) denovo|(10) NRF-2/GABP|(11) Elk-1|(12) c-Ets-1 68|(13) denovo|(14) ELK1|(15) FLI1|(16) GABPA|(17) Elk-1|(18) Ets1|(19) CAT8|(20) Elk-1|(21) FEV|(22) EHF|(23) PEA3|(24) GABP-alpha|(25) denovo|(26) denovo|(27) ETV7|(28) NR2C2|(29) Ets|(30) Ets|(31) STAT1|(32) Elk-1|(34) ETS2|(36) SPI1|(37) NERF1a|(39) Ets1|(41) ELF1|(44) Ets1,(1)|(2) Ets Domain Family|(3)|(4) Ets Domain Family|(5) Ets Domain Family|(6) Ets Domain Family|(7)|(8)|(9)|(10)|(11)|(12)|(13)|(14) Ets Domain Family|(15) Ets Domain Family|(16) Ets Domain Family|(17)|(18) Ets Domain Family|(19)|(20)|(21) Ets Domain Family|(22) Ets Domain Family|(23)|(24)|(25)|(26)|(27) Ets Domain Family|(28) Hormone-nuclear Receptor Family|(29)|(30)|(31) Stat Protein Family|(32)|(34) Ets Domain Family|(36) Ets Domain Family|(37)|(39) Ets Domain Family|(41) Ets Domain Family|(44) Ets Domain Family,,38.0,"[[[0.075, 0.616, 0.152, 0.157], [0.633, 0.055, 0.275, 0.036], [0.001, 0.845, 0.012, 0.142], [0.025, 0.002, 0.004, 0.969], [0.001, 0.002, 0.001, 0.996], [0.002, 0.996, 0.000, 0.002], [0.004, 0.992, 0.002, 0.002], [0.003, 0.003, 0.777, 0.217], [0.006, 0.125, 0.828, 0.041], [0.070, 0.380, 0.152, 0.398], [0.099, 0.320, 0.284, 0.297], [0.089, 0.418, 0.247, 0.245]]]"
MC00448|Nr1h2,1.3381785770726887e-05,,Cistrome,,20,,22158963,Hormone-nuclear Receptor Family,,"nuclear receptor subfamily 1, group H, member 2",Mus Musculus,Hepatocyte /,22260,Nr1h2,AI194859 LXR LXRB LXRbeta NER1 OR-1 RIP15 UR Unr Unr2,NM_009473,309.0,,,,,,5067(3/3),-24.5056,(0) denovo (1) denovo (2) denovo (6) Nr1h3 Nr1h2 (7) denovo (13) Nr1h3 Nr1h2 (15) Nr1h3 (18) denovo (30) Rara (31) Nr2f2,(0)  (1)  (2)  (6) Cys4 zinc finger of nuclear receptor type (7)  (13) Cys4 zinc finger of nuclear receptor type (15) Cys4 zinc finger of nuclear receptor type (18)  (30) Hormone-nuclear Receptor Family (31) Cys4 zinc finger of nuclear receptor type,,10.0,"[[[0.030, 0.065, 0.038, 0.867], [0.143, 0.038, 0.774, 0.044], [0.571, 0.254, 0.048, 0.127], [0.180, 0.701, 0.032, 0.087], [0.056, 0.764, 0.022, 0.158], [0.067, 0.221, 0.153, 0.559], [0.294, 0.203, 0.289, 0.214], [0.257, 0.237, 0.243, 0.263], [0.615, 0.043, 0.234, 0.108], [0.211, 0.041, 0.665, 0.083], [0.097, 0.047, 0.036, 0.820], [0.504, 0.062, 0.262, 0.172], [0.699, 0.101, 0.158, 0.041], [0.132, 0.750, 0.045, 0.072], [0.107, 0.777, 0.023, 0.093], [0.063, 0.336, 0.024, 0.577]]]"
UP00018|Irf4,1.3469461257492431e-05,,UniPROBE,,9,,19443739,Interferon Regulatory Factor,,interferon regulatory factor 4,Mus Musculus,,16364,Irf4,AI385587 IRF-4 LSIRF Spip,NM_013674,174.0,,,,,,,,,,,,"[[[0.303, 0.390, 0.162, 0.145], [0.263, 0.110, 0.466, 0.161], [0.314, 0.080, 0.171, 0.435], [0.658, 0.042, 0.055, 0.245], [0.175, 0.281, 0.069, 0.475], [0.015, 0.892, 0.010, 0.083], [0.012, 0.010, 0.968, 0.010], [0.970, 0.010, 0.010, 0.010], [0.934, 0.010, 0.010, 0.046], [0.970, 0.010, 0.010, 0.010], [0.022, 0.941, 0.027, 0.010], [0.029, 0.569, 0.018, 0.384], [0.397, 0.134, 0.324, 0.145], [0.327, 0.279, 0.198, 0.196], [0.506, 0.143, 0.166, 0.185]]]"
MS00274|NHLH1,1.3469461257492431e-05,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,nescient helix loop helix 1,Homo Sapiens,293T,4807,NHLH1,,NM_005598,,,,,,,,,,,,,"[[[0.123, 0.775, 0.057, 0.045], [0.125, 0.133, 0.698, 0.044], [0.021, 0.959, 0.010, 0.010], [0.964, 0.010, 0.016, 0.010], [0.010, 0.154, 0.759, 0.077], [0.026, 0.954, 0.010, 0.010], [0.021, 0.010, 0.010, 0.959], [0.010, 0.010, 0.970, 0.010], [0.010, 0.970, 0.010, 0.010], [0.083, 0.254, 0.489, 0.174]]]"
M00179|ATF2,1.3735776940399835e-05,,Transfac,,4,,,Leucine Zipper Family,,activating transcription factor 2,Homo Sapiens,,1386,ATF2,CRE-BP1 CREB2 HB16 MGC111558 TREB7,NM_001880,153.0,,,,,,,,,,,,"[[[0.286, 0.286, 0.418, 0.010], [0.010, 0.286, 0.571, 0.133], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.143, 0.010, 0.837], [0.551, 0.429, 0.010, 0.010], [0.714, 0.010, 0.143, 0.133], [0.143, 0.561, 0.286, 0.010], [0.143, 0.286, 0.143, 0.428]]]"
UP00000|SMAD3,1.4948756571788827e-05,,UniPROBE,,9,,19443739,MH1 Domain Family,,SMAD family member 3,Homo Sapiens,,4088,SMAD3,DKFZp586N0721 DKFZp686J10186 HSPC193 HsT17436 JV15-2 MADH3 MGC60396,NM_001145102|NM_001145103|NM_001145104|NM_005902,255.0,,,,,,,,,,,,"[[[0.282, 0.413, 0.115, 0.190], [0.342, 0.135, 0.268, 0.255], [0.400, 0.173, 0.169, 0.258], [0.365, 0.196, 0.212, 0.227], [0.243, 0.178, 0.224, 0.355], [0.030, 0.808, 0.036, 0.126], [0.010, 0.815, 0.041, 0.134], [0.921, 0.059, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.959, 0.021, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.670, 0.012, 0.282, 0.036], [0.131, 0.171, 0.334, 0.364], [0.199, 0.290, 0.252, 0.259], [0.423, 0.191, 0.164, 0.222], [0.214, 0.287, 0.294, 0.205], [0.372, 0.285, 0.150, 0.193]]]"
MS00311|Creb3l2,1.5342016155232042e-05,,SELEX,,9,,23332764,Leucine Zipper Family,,cAMP responsive element binding protein 3-like 2,Mus Musculus,293FT,208647,Creb3l2,,NM_178661,,,,,,,,,,,,,"[[[0.035, 0.081, 0.096, 0.788], [0.020, 0.024, 0.896, 0.060], [0.080, 0.814, 0.010, 0.096], [0.010, 0.852, 0.113, 0.025], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.111, 0.869, 0.010], [0.083, 0.010, 0.844, 0.063], [0.137, 0.817, 0.010, 0.036], [0.640, 0.274, 0.076, 0.010]]]"
MC00278|ETS1,1.5492007569655907e-05,,Cistrome,,16,,20019798,Ets Domain Family,,v-ets erythroblastosis virus E26 oncogene homolog 1 (avian),Homo Sapiens,Jurkat,2113,ETS1,,NM_001143820|NM_001162422|NM_005238,,,,,,,696(3/3),-37.5139,(1) denovo|(2) denovo|(4) denovo|(5) denovo|(6) denovo|(15) denovo,(1)|(2)|(4)|(5)|(6)|(15),,6.0,"[[[0.870, 0.061, 0.043, 0.026], [0.026, 0.923, 0.027, 0.024], [0.034, 0.107, 0.042, 0.816], [0.789, 0.084, 0.072, 0.055], [0.032, 0.903, 0.039, 0.026], [0.772, 0.075, 0.113, 0.039], [0.480, 0.117, 0.114, 0.290], [0.107, 0.420, 0.122, 0.351], [0.101, 0.087, 0.048, 0.764], [0.046, 0.875, 0.044, 0.034], [0.019, 0.938, 0.018, 0.026], [0.039, 0.898, 0.032, 0.031], [0.719, 0.029, 0.223, 0.029], [0.115, 0.124, 0.649, 0.112], [0.375, 0.368, 0.214, 0.042], [0.678, 0.045, 0.247, 0.029]]]"
MS00638|ESRRG,1.8442212877419113e-05,,SELEX,,9,,23332764,Hormone-nuclear Receptor Family,,estrogen-related receptor gamma,Homo Sapiens,293FT,2104,ESRRG,,NM_001134285|NM_001438|NM_206594|NM_206595|NR_024099,,,,,,,,,,,,,"[[[0.885, 0.015, 0.083, 0.017], [0.951, 0.016, 0.023, 0.010], [0.010, 0.010, 0.940, 0.040], [0.010, 0.010, 0.970, 0.010], [0.058, 0.010, 0.084, 0.848], [0.010, 0.800, 0.024, 0.166], [0.768, 0.010, 0.212, 0.010], [0.182, 0.250, 0.114, 0.454], [0.170, 0.215, 0.202, 0.413], [0.032, 0.216, 0.069, 0.683], [0.130, 0.459, 0.357, 0.054], [0.766, 0.010, 0.200, 0.024], [0.950, 0.028, 0.012, 0.010], [0.010, 0.010, 0.961, 0.019], [0.010, 0.010, 0.970, 0.010], [0.049, 0.010, 0.109, 0.832], [0.010, 0.901, 0.013, 0.076], [0.851, 0.010, 0.129, 0.010]]]"
MS00207|TBX21,2.004599847267606e-05,,SELEX,,9,,23332764,Transcription Factor T-Domain,,T-box 21,Homo Sapiens,293FT,30009,TBX21,,NM_013351,,,,,,,,,,,,,"[[[0.023, 0.092, 0.015, 0.870], [0.270, 0.541, 0.154, 0.035], [0.761, 0.012, 0.171, 0.056], [0.010, 0.970, 0.010, 0.010], [0.879, 0.010, 0.101, 0.010], [0.019, 0.950, 0.021, 0.010], [0.101, 0.620, 0.131, 0.148], [0.079, 0.129, 0.035, 0.757], [0.246, 0.263, 0.154, 0.337], [0.277, 0.216, 0.255, 0.252], [0.370, 0.089, 0.331, 0.210], [0.764, 0.028, 0.138, 0.070], [0.127, 0.103, 0.680, 0.090], [0.010, 0.028, 0.946, 0.016], [0.010, 0.088, 0.012, 0.890], [0.010, 0.010, 0.970, 0.010], [0.079, 0.160, 0.013, 0.748], [0.031, 0.074, 0.717, 0.178], [0.880, 0.010, 0.092, 0.018]]]"
UP00094|Zfp128,2.1712251131190172e-05,,UniPROBE,,9,,19443739,BetaBetaAlpha-zinc finger Family,,zinc finger protein 128,Mus Musculus,,243833,Zfp128,9630016P15Rik MGC113768 Znf8 mZnf8,NM_153802,392.0,,,,,,,,,,,,"[[[0.194, 0.222, 0.264, 0.320], [0.288, 0.308, 0.101, 0.303], [0.285, 0.162, 0.133, 0.420], [0.253, 0.127, 0.276, 0.344], [0.221, 0.026, 0.367, 0.386], [0.016, 0.010, 0.880, 0.094], [0.185, 0.010, 0.731, 0.074], [0.010, 0.970, 0.010, 0.010], [0.067, 0.010, 0.913, 0.010], [0.010, 0.010, 0.010, 0.970], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.150, 0.621, 0.193, 0.036], [0.101, 0.560, 0.113, 0.226], [0.177, 0.260, 0.181, 0.382], [0.425, 0.224, 0.144, 0.207], [0.452, 0.123, 0.218, 0.207]]]"
MS00048|GCM1,2.291945857280636e-05,,SELEX,,9,,23332764,Glial Cells Missing (GCM) Domain Family,,glial cells missing homolog 1 (Drosophila),Homo Sapiens,FT293,8521,GCM1,,NM_003643,,,,,,,,,,,,,"[[[0.611, 0.112, 0.242, 0.035], [0.027, 0.110, 0.031, 0.832], [0.451, 0.032, 0.507, 0.010], [0.140, 0.630, 0.044, 0.186], [0.081, 0.010, 0.536, 0.373], [0.010, 0.010, 0.965, 0.015], [0.010, 0.010, 0.970, 0.010], [0.010, 0.254, 0.019, 0.717], [0.572, 0.010, 0.408, 0.010], [0.013, 0.962, 0.015, 0.010], [0.010, 0.970, 0.010, 0.010], [0.360, 0.509, 0.010, 0.121], [0.044, 0.041, 0.726, 0.189], [0.012, 0.689, 0.029, 0.270], [0.775, 0.116, 0.018, 0.091], [0.181, 0.213, 0.183, 0.423]]]"
